"Experiment","Language","Subject","KL","Age_months","Age_years","method","cite","lab"
"Almoammer2013","Saudi","1","2",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","2","2",42,3.5,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","3","0",36,3,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","4","0",39,3.25,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","5","1",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","6","2",41,3.41666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","7","1",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","8","4",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","10","3",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","11","3",39,3.25,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","12","2",42,3.5,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","13","1",41,3.41666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","14","1",41,3.41666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","15","5",40,3.33333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","16","1",36,3,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","17","1",39,3.25,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","18","3",42,3.5,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","19","0",37,3.08333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","20","2",39,3.25,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","21","2",38,3.16666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","22","2",43,3.58333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","23","3",42,3.5,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","24","2",47,3.91666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","25","2",43,3.58333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","26","2",46,3.83333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","27","1",43,3.58333333333333,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","28","5",42,3.5,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","29","2",45,3.75,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","30","5",47,3.91666666666667,"non-titrated","AlmoammerEtAl_2013",NA
"Almoammer2013","Saudi","31","5",44,3.66666666666667,"non-titrated","AlmoammerEtAl_2013",NA
